更新时间,#genre#
2026-01-02 04:57:23,url


央视频道,#genre#
CCTV-13 新闻,http://180.109.94.130:4022/udp/239.49.8.109:8000
CCTV-13 新闻,http://222.189.167.56:4022/udp/239.49.8.109:8000
CCTV-13高清,http://113.104.187.200:7088/udp/239.77.0.188:5146
CCTV-13高清,http://113.104.187.200:7088/udp/239.77.0.188:5146
CCTV-13高清,http://113.104.187.200:7088/udp/239.253.43.196:5146
CCTV-13高清,http://113.104.237.144:7088/udp/239.77.0.188:5146
CCTV-13高清,http://113.104.237.144:7088/udp/239.253.43.196:5146
CCTV-13高清,http://113.111.110.220:4022/udp/239.77.0.188:5146
CCTV-13高清,http://113.111.110.220:4022/udp/239.253.43.196:5146
CCTV-14 少儿,http://180.109.94.130:4022/udp/239.49.8.56:9826
CCTV-14 少儿,http://222.189.167.56:4022/udp/239.49.8.56:9826
CCTV-14高清,http://113.104.187.200:7088/udp/239.77.1.161:5146
CCTV-14高清,http://113.104.237.144:7088/udp/239.77.1.161:5146
CCTV-14高清,http://113.111.110.220:4022/udp/239.77.1.161:5146
CCTV-14高清 (CAVS),http://113.104.187.200:7088/udp/239.77.1.171:5146
CCTV-14高清 (CAVS),http://113.104.237.144:7088/udp/239.77.1.171:5146
CCTV-14高清 (CAVS),http://113.111.110.220:4022/udp/239.77.1.171:5146
CCTV-14高清测试,http://113.104.237.144:7088/udp/239.77.0.133:5146
CCTV-14高清测试,http://113.104.187.200:7088/udp/239.77.0.133:5146
CCTV-14高清测试,http://113.104.237.144:7088/udp/239.77.0.133:5146
CCTV-14高清测试,http://113.111.110.220:4022/udp/239.77.0.133:5146
CCTV-15 音乐,http://180.109.94.130:4022/udp/239.49.0.128:8000
CCTV-15 音乐,http://222.189.167.56:4022/udp/239.49.0.128:8000
CCTV-16 奥林匹克,http://180.109.94.130:4022/udp/239.49.8.31:8000
CCTV-16 奥林匹克,http://222.189.167.56:4022/udp/239.49.8.31:8000
CCTV-16 奥林匹克4K,http://222.189.167.56:4022/udp/239.49.0.109:8000
CCTV-16 奥林匹克4K,http://180.109.94.130:4022/udp/239.49.0.109:8000
CCTV-16 奥林匹克4K,http://180.109.94.130:4022/udp/239.49.0.109:8000
CCTV-16 奥林匹克4K,http://222.189.167.56:4022/udp/239.49.0.109:8000
CCTV-16 奥林匹克4K,http://222.189.167.56:4022/udp/239.49.0.109:8000
CCTV-16高清,http://113.111.110.220:4022/udp/239.77.0.165:5146
CCTV-16高清,http://113.104.187.200:7088/udp/239.77.0.165:5146
CCTV-16高清,http://113.104.237.144:7088/udp/239.77.0.165:5146
CCTV-16高清,http://113.111.110.220:4022/udp/239.77.0.165:5146
CCTV-17 农业农村,http://222.189.167.56:4022/udp/239.49.8.52:9810
CCTV-17 农业农村,http://180.109.94.130:4022/udp/239.49.8.52:9810
CCTV-17 农业农村,http://222.189.167.56:4022/udp/239.49.8.52:9810
CCTV-17农业高清,http://113.104.237.144:7088/udp/239.77.0.198:5146
CCTV-17农业高清,http://113.111.110.220:4022/udp/239.77.0.198:5146
CCTV-17农业高清,http://113.104.187.200:7088/udp/239.77.0.198:5146
CCTV-17农业高清,http://113.104.237.144:7088/udp/239.77.0.198:5146
CCTV-17农业高清,http://113.111.110.220:4022/udp/239.77.0.198:5146
